Id,Nombre,Name
2415,Rábano,Radish
2301,Rabo de toro,Oxtail
838,"Rape, a la parrilla","Monkfish, grilled"
2623,"Rape, crudo","Monkfish, raw"
2624,"Rape, plancha","Monkfish, griddle"
2470,"Raya, cruda","Ray, raw"
2450,"Refresco ""tipo gaseosa""","Soft drink, soda type"
2451,"Refresco con gas, sabor cola, sin cafeina","Cola drink, carbonated, decaffeinated"
2452,"Refresco con gas, sabor cola, sin cafeina, bajo en calorías","Cola drink, light, carbonated, decaffeinated"
2453,Refresco de té,Tea soft drink
2454,"Refresco de té, bajo en calorías",Tea soft drink light
2455,"Refresco tipo ""tónica""","Soft drink, tonic water type"
2456,"Refresco, con gas, sabor naranja","Soft drink, carbonated, orange flavoured"
2457,"Refresco, sabor cola","Soft drink, cola flavoured"
2458,"Refresco, sabor cola, bajo en calorías","Soft drink, cola flavoured, light"
1098,"Refresco, sabor limón, con gas","Carbonated drink, lemon"
1097,"Refresco, sabor naranja, sin gas","Soft drink, orange flavoured, no carbonated"
2659,Regaliz,Liquorice
2416,"Remolacha, en conserva","beetroot, canned"
2417,Repollo,Cabbage
2517,Requesón,Cottage cheese
1063,"Riñón, de cordero, crudo","Kidney, lamb, raw"
1069,"Riñón, de ternera, crudo","Kidney, veal, raw"
2625,Rodaballo,Turbot
2587,Rollito de primavera,Chinese spring roll
2586,Romero,Rosemary
1096,Ron,Rum
2176,Rosquilla,Ring-shaped pastry
2418,Rúcula,Arugula
