Id,Nombre,Name
2194,"Haba, fresca","Broad bean, fresh"
2195,"Haba, frita","Broad bean, fried"
1123,"Haba, seca","Broad bean, dried"
1128,"Haba, seca, remojada, hervida","Broad bean, dried, steeped, boiled"
1054,Harina de avena,Oat flour
1055,"Harina de avena, cocida en agua","Oat flour, boiled in water"
1056,Harina de cebada,Barley flour
1112,Harina de centeno,Rye flour
2644,Harina de maíz,Corn flour
1125,Harina de soja,Soy flour
2677,Harina de trigo,Wheat flour
1113,"Harina de trigo, integral",Wheat whole flour
2487,Helado de chocolate,Chocolate ice cream
2488,Helado de fresa,Strawberry ice cream
2489,Helado de nata,Cream ice cream
2270,"Higado de pollo, crudo","Liver, chicken, raw"
967,"Hígado, de cerdo, crudo","Liver, pork, raw"
1053,"Hígado, de vaca/buey, crudo","Liver, beef, raw"
2227,Higos y brevas,Figs
2608,Hinojo,Fennel
2607,Hojaldre,Puff pastry
2442,Horchata,Tigger nut milk drink
757,"Huevo de codorniz, entero, crudo","Egg, quail, whole, raw"
2127,Huevo de gallina fresco,"Egg, chicken, whole, raw"
1173,"Huevo de gallina, clara, cruda","Egg,chicken, white, raw"
758,"Huevo de gallina, escalfado","Egg, chicken, whole, poached"
759,"Huevo de gallina, frito","Egg, chicken, whole, fried"
2126,"Huevo de gallina, hervido, duro","Egg, chicken, cooked, hard boiled"
760,"Huevo de gallina, pasado por agua","Egg, chicken, whole, boiled"
761,"Huevo de gallina, revuelto, con mantequilla","Egg, scrambled, with butter"
2125,"Huevo de gallina, yema, cruda","Egg, chiken, yolk, raw"
762,"Huevo de gallina, yema, desecada","Egg, chicken, yolk, dried"
764,"Huevo de pato, crudo","Egg, duck, whole, raw"
763,"Huevo de pavo, entero, crudo","Egg, turkey, whole, raw"
