Id,Nombre,Name
2274,Lacón,"Shoulder cured ham, ""lacon"""
2509,Lactosa,Lactose
2339,Langosta,Lobster
2340,Langostino,"Prawn, raw"
2604,Lasaña,Lasagne
2603,"Laurel, hoja","bay, leaf"
907,"Leche condensada, entera, con azúcar","Milk, whole, condensed, with sugar"
2490,Leche de almendra,Almond milk
1000,Leche de cabra,Goat's milk
911,Leche de coco,Coconut milk
1002,Leche de oveja,Sheep's milk
2492,"Leche de vaca, desnatada, condensada, con azúcar","Milk, skimmed, condensed, with sugar"
2493,"Leche de vaca, entera",Whole milk
912,"Leche en polvo, semidesnatada","Milk, semi-skimmed, dried"
2518,"Leche fermentada, bifidobacterium, entera, natural","Fermented milk, plain"
2494,Leche materna,human milk
913,Leche merengada,"Milk, whipped"
915,"Leche, desnatada, pasteurizada","Milk, skimmed, pasteurized"
916,"Leche, semidesnatada, pasteurizada","Milk, semi-skimmed, pasteurized"
2399,Lechuga,Lettuce
2548,Lecitina de soja,Soy lecithin
2275,"Lengua de cerdo, cruda","Pork, tongue, raw"
2276,"Lengua de cordero, cruda","Lamb, tongue, raw"
983,"Lengua, de buey, cruda","Tongue, ox, raw"
985,"Lengua, de ternera, cruda","Tongue, veal, roasted"
2341,Lenguado,Sole
820,"Lenguado, al horno","Sole, baked"
2342,"Lenguado, frito","Sole, fried"
2343,"Lenguado, plancha","Sole, griddle"
1126,"Lenteja, en conserva","Lentil, canned"
2200,"Lenteja, hervida","Lentil, boiled"
1065,"Lenteja, seca, cruda","Lentil, dried, raw"
2444,Licor apricot,Apricot liqueur
2445,Licor benedictine,Benedictine liqueur
2446,Licor curaçao,Curaçao liqueur
2447,Licor de café,Coffee liqueur
2428,Licor de crema 15-17% vol.,Cream liqueur 15-17% volume
2448,Licores de frutas,Fruits liqueur
986,"Liebre, entera, cruda","Hare, whole, raw"
821,"Lija, cruda","Dogfish, raw"
1001,"Lima, cruda","Lime, raw"
2449,Limonada,Lemonade
1003,"Litchi, crudo","Litchis, raw"
2400,Lombarda,Lombard
2277,Lomo embuchado,"Cured pork, loin"
2322,Longaniza,Sausage
2344,Lubina,Seabass
822,"Lucio, al horno","Pike, baked"
