Id,Nombre,Name
943,"Macedonia de frutas, conserva en su jugo","Fruit salad, canned in own juice"
2678,Magdalena,Muffin
879,"Maíz, en mazorca, congelado, crudo","Corn, on the cob, frozen, raw"
1114,"Maíz, en mazorca, crudo","Corn, on the cob, raw"
2229,Mandarina,Tangerine
2230,"Mandarina, congelada","Tangerine, frozen"
1186,"Mango, crudo","Mango, without skin, raw"
2549,Manteca,Pork lard
756,Mantequilla salada,Butter with salt
2550,"Mantequilla, baja en calorías","Butter, light"
2231,Manzana,Apple
2551,Margarina de maíz,Corn margarine
2552,"Margarina, baja en calorías","Margarine, light"
1060,"Masa de hojaldre, cruda","Puff pastry, raw"
2553,Mayonesa con aceite de girasol,Mayonnaise sunflower oil
874,"Mayonesa, aceite de oliva","Mayonnaise, olive oil, home-prepared"
873,"Mayonesa, aceite de soja","Mayonnaise, soybean oil"
2554,"Mayonesa, baja en calorías",Mayonnaise light
2345,Mejillon,Mussel
823,"Mejillón, en conserva, al natural","Mussel, canned in brine"
2346,"Mejillón, en escabeche","Mussel, pickled"
824,"Mejillón, hervido","Mussel, boiled"
2232,Melocotón,Peach
2233,Melocotón en almíbar,Syrup peach
946,"Melocotón, desecado","Peach, dried"
2234,Melón,Melon
1006,"Membrillo, crudo","Quince, raw"
2401,"Menestra de verduras, congelada","Vegetables, stewed, frozen"
872,"Menta, fresca","Mint, fresh"
2347,Merluza fresca,"Hake, raw"
825,"Merluza, congelada, cruda","Hake, frozen, raw"
2348,"Merluza, rebozada, frita","Hake, coat in batter, deep fried"
771,Mermelada de albaricoque,"Marmalade, apricot"
2654,"Mermelada de albaricoque y melocotón, baja en calorías","Marmalade, apricot and peach, light"
772,Mermelada de ciruela,"Marmalade, plum"
2655,Mermelada de frambuesa,"marmalade, raspberry"
2656,Mermelada de fresa,"Marmalade, strawberry"
2657,"Mermelada de fresa, baja en calorías","marmalade, strawberry, light"
773,Mermelada de grosella roja,"Marmalade, red currant"
774,Mermelada de mora,"Marmalade, blackberry"
775,Mermelada de naranja,"Marmalade, orange"
826,"Mero, crudo","Grouper, raw"
2349,"Mero, plancha","Grouper, griddle"
2643,Miel,Honey
2156,Mijo,Millet
2157,Miso,Miso
2601,Mojo picon,"Sauce, ""mojo picón"" type"
2278,Molleja de cordero,Lamb gizzard
2280,Morcilla,Blood sausage
2281,"Morcilla, frita","Blood sausage, fried"
2282,Mortadela,Bologna
2600,Mostaza,Mustard
2496,Mousse de chocolate,Chocolate mousse
917,"Mousse de queso fresco, con frutas","Mousse, cottage cheese, with fruits"
918,"Mousse de queso fresco, desnatado, azucarado","Mousse, cottage cheese, skimmed, with sugar"
919,"Mousse de queso fresco, desnatado, con frutas","Mousse, cottage cheese, skimmed, with fruit"
920,"Mousse de yogur, con frutas","Yogurt mousse, with fruits"
921,"Mousse de yogur, natural","Yogurt mousse, plain"
2158,Muesli,Granola
827,"Mújol, al horno","Thicklip grey mullet, baked"
828,"Mújol, crudo","Thicklip grey mullet, raw"
