Id,Nombre,Name
691,Queso afuega'l pitu,"Cheese, ""afuega'l pitu"" type"
692,Queso ahumado de aliva,"Cheese, ""ahumado de aliva"" type"
2498,Queso azul,Blue cheese
2499,Queso brie,Brie cheese
2500,"Queso cabra, curado","Goat cheese, cured"
2501,Queso cabrales,Cabrales cheese
929,Queso Camembert 20-30% MG/ES,"Camembert cheese, 20-30% fidm"
930,Queso camembert 60% mg/es,"Camembert cheese, 60% fidm"
693,Queso cantabria,"Cheese, ""cantabria"" type"
694,Queso casín,"Cheese, ""casin"" type"
715,Queso Castellano,"Cheese, ""castellano"" type"
700,Queso cebreiro,"Cheese, ""cebreiro"" type"
1005,Queso Cheddar,Cheddar cheese
2502,"Queso curado, genérico",Cured cheese
705,Queso de aracena,"Cheese, ""aracena"" type"
716,Queso de arzúa,"Cheese, ""arzúa"" type"
2503,Queso de bola,Cheese
696,Queso de cádiz,"Cheese, ""cádiz"" type"
931,"Queso de Castilla-La Mancha, oveja y cabra","Lamb and goat cheese, ""castilla-la mancha"" type"
932,"Queso de Castilla-La Mancha, oveja, vaca y cabra","Lamb, cow and goat cheese, ""castilla-la mancha"" type"
933,"Queso de castilla-león, oveja y vaca","Sheep and cow cheese, ""castilla-león"" type"
695,"Queso de murcia, al vino","Cheese, ""murcia with wine"" type"
706,Queso de tenerife,"Cheese, ""tenerife"" type"
707,Queso de tiétar,"Cheese, ""tiétar"" type"
2504,Queso edam,"Cheese, edam type"
2505,Queso emmental,Emmental cheese
2506,Queso en porciones,"Processed cheese, portions"
703,Queso flor de guía,"Cheese, ""flor de guía"" type"
2507,Queso fresco de burgos,"Soft cheese, ""burgos"" type"
934,"Queso fresco, cabra","Goat cheese, uncured"
939,"Queso fresco, desnatado, con frutas","Uncured cheese, skimmed, with fruit"
940,"Queso fundido, extragraso (>60% MG/ES)","Processed cheese, >60 % fidm"
704,Queso gata-hurdes,"Cheese, ""gata-hurdes"" type"
698,Queso gaztazarra,"Cheese, ""gaztazarra"" type"
941,Queso Gouda,Gouda cheese
711,Queso grazalema,"Cheese, ""grazalema"" type"
1011,Queso Gruyer,Gruyere cheese
699,Queso herreño,"Cheese, ""herreño"" type"
717,Queso Ibores,"Cheese, ""ibores"" type"
718,Queso Mahón,"Cheese, ""mahón"" type"
722,Queso majorero,"Cheese, ""majorero"" type"
2508,Queso manchego,"Cheese ""manchego"" type"
942,"Queso manchego, en aceite","Cheese, ""manchego"" type, in oil"
2510,Queso mozzarella,Mozzarella cheese
944,Queso munster,Muenster-type cheese
2511,Queso para untar,Chesee spread
945,"Queso para untar, con finas hierbas","Cheese spread, with spice and herbs  "
947,"Queso para untar, con salmón","Cheese spread, with salmon"
948,"Queso para untar, natural, bajo en calorías","Cheese spread, plain, light"
2512,Queso parmesano,Parmesan cheese
708,Queso pasiego,"Cheese, ""pasiego"" type"
701,Queso pedroches,"Cheese, ""pedroches"" type"
709,Queso peñamellera,"Cheese, ""peñamellera"" type"
713,Queso picón,"Cheese, ""picón"" type"
712,Queso porrúa,"Cheese, ""porrúa"" type"
723,Queso Raclette,Raclette cheese
2513,"Queso rallado, genérico",Grated cheese
2514,Queso roquefort,Roquefort cheese
721,Queso San Simón,"Cheese, ""san simón"" type"
2515,"Queso semicurado, genérico",Semi-cured cheese
714,Queso serrat,"Cheese, ""serrat"" type"
710,Queso servilleta,"Cheese, ""servilleta"" type"
697,Queso Tetilla,"Cheese, ""tetilla"" type"
2516,"Queso tierno, genérico",Fresh cheese
720,Queso torta del casar,"Cheese, ""torta del casar"" type"
702,Queso tupí,"Cheese, ""tupí"" type"
719,Queso Zamorano,"Cheese, ""zamorano"" type"
1083,"Quinoa, cruda","Quinoa, raw"
