Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","3696 (887)
							",kJ (kcal),236
"grasa, total (lipidos totales)",99.9,g,29
"proteina, total",0,g,30
agua (humedad),0.1,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,29
carbohidratos,0,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",44.6,g,29
"ácidos grasos, poliinsaturados totales",30.5,g,29
ácidos grasos saturados totales,21.1,g,29
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,650,mg,31
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,20000,ug,61
Vitamina D,210,ug,29
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,20,mg,29
"folato, total",traza,ug,149
"equivalentes de niacina, totales",0,mg,29
riboflavina,0,mg,29
tiamina,traza,mg,149
Vitamina B-12,0,ug,29
"Vitamina B-6, Total",traza,mg,149
Vitamina C (ácido ascórbico),0,mg,29
Minerales,,,
calcio,traza,mg,149
"hierro, total",traza,mg,29
potasio,traza,mg,29
magnesio,traza,mg,29
sodio,traza,mg,29
fósforo,traza,mg,29
ioduro,traza,ug,31
"selenio, total",traza,ug,29
zinc (cinc),traza,mg,29
