Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","3700 (888)
							",kJ (kcal),236
"grasa, total (lipidos totales)",100,g,30
"proteina, total",0,g,30
agua (humedad),0,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,0,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",20.2,g,30
"ácidos grasos, poliinsaturados totales",66,g,30
ácidos grasos saturados totales,9.4,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0,g,290
ácido graso 16:0 (ácido palmítico),5.16,g,290
ácido graso 18:0 (ácido esteárico),4.08,g,290
ácido graso 18:1 n-9 cis (ácido oléico),19.5,g,290
colesterol,0,mg,30
ácido graso 18:2,15.69,g,290
ácido graso 18:3,55.47,g,290
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,17.5,mg,30
"folato, total",0,ug,30
"equivalentes de niacina, totales",0,mg,30
riboflavina,0,mg,30
tiamina,0,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,0,mg,30
"hierro, total",0,mg,30
potasio,0,mg,30
magnesio,0,mg,30
sodio,0,mg,30
fósforo,0,mg,30
ioduro,0,ug,30
"selenio, total",0,ug,30
zinc (cinc),0,mg,30
