Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","3692 (886)
							",kJ (kcal),236
"grasa, total (lipidos totales)",99.7908,g,61
"proteina, total",traza,g,149
agua (humedad),traza,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",17.1,g,149
"ácidos grasos, poliinsaturados totales",69,g,149
ácidos grasos saturados totales,9.3,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0,g,290
ácido graso 16:0 (ácido palmítico),7.19,g,290
ácido graso 18:0 (ácido esteárico),2.63,g,290
ácido graso 18:1 n-9 cis (ácido oléico),15.71,g,290
colesterol,traza,mg,149
ácido graso 18:2,61.84,g,290
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,10.8,mg,149
"folato, total",traza,ug,149
"equivalentes de niacina, totales",traza,mg,149
riboflavina,traza,mg,149
tiamina,traza,mg,149
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",traza,mg,149
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,traza,mg,149
"hierro, total",traza,mg,149
potasio,traza,mg,149
magnesio,traza,mg,149
sodio,traza,mg,149
fósforo,traza,mg,149
ioduro,0,ug,327
"selenio, total",0,ug,30
zinc (cinc),0,mg,180
