Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","3696 (887)
							",kJ (kcal),236
"grasa, total (lipidos totales)",99.9,g,61
"proteina, total",0,g,61
agua (humedad),0.1,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",71,g,310
"ácidos grasos, poliinsaturados totales",11.93,g,310
ácidos grasos saturados totales,17.06,g,310
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.01,g,326
ácido graso 16:0 (ácido palmítico),14,g,310
ácido graso 18:0 (ácido esteárico),2.75,g,310
ácido graso 18:1 n-9 cis (ácido oléico),69.16,g,310
colesterol,0,mg,61
ácido graso 18:2,11.28,g,310
ácido graso 18:3,0.69,g,310
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,12,mg,61
"folato, total",0,ug,61
"equivalentes de niacina, totales",0,mg,61
riboflavina,0,mg,61
tiamina,0,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,0,mg,61
"hierro, total",0,mg,61
potasio,0,mg,61
magnesio,0,mg,61
sodio,0,mg,61
fósforo,0,mg,61
ioduro,0,ug,280
"selenio, total",0,ug,280
zinc (cinc),0,mg,61
