Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","89 (21)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,61
"proteina, total",2.1,g,61
agua (humedad),94.4,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",1,g,61
carbohidratos,2.7,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,61
"ácidos grasos, poliinsaturados totales",traza,g,61
ácidos grasos saturados totales,traza,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,183,ug,310
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.03,mg,61
"folato, total",22,ug,61
"equivalentes de niacina, totales",0.4,mg,61
riboflavina,0.13,mg,61
tiamina,0.07,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),35,mg,61
Minerales,,,
calcio,80,mg,61
"hierro, total",2.3,mg,61
potasio,378,mg,61
magnesio,81,mg,61
sodio,170,mg,61
fósforo,43,mg,61
ioduro,1,ug,280
"selenio, total",0.3,ug,280
zinc (cinc),0.2,mg,61
