Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","121 (29)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.39,g,281
"proteina, total",1.9,g,281
agua (humedad),92.3,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0.8,g,281
carbohidratos,4.37,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.04,g,281
"ácidos grasos, poliinsaturados totales",0.07,g,281
ácidos grasos saturados totales,0.03,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,227,ug,310
Vitamina D,traza,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.03,mg,281
"folato, total",10,ug,61
"equivalentes de niacina, totales",0.58,mg,281
riboflavina,0.05,mg,281
tiamina,0.05,mg,281
Vitamina B-12,traza,ug,281
"Vitamina B-6, Total",0.08,mg,281
Vitamina C (ácido ascórbico),13.5,mg,281
Minerales,,,
calcio,80,mg,61
"hierro, total",2.63,mg,281
potasio,275.5,mg,281
magnesio,56.8,mg,281
sodio,108.75,mg,281
fósforo,38,mg,281
ioduro,35,ug,281
"selenio, total",0.79,ug,281
zinc (cinc),0.02,mg,281
