Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","570 (137)
							",kJ (kcal),236
"grasa, total (lipidos totales)",12,g,258
"proteina, total",1.5,g,258
agua (humedad),78.8,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",6.3,g,38
carbohidratos,0.4,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.01,g,258
"ácidos grasos, poliinsaturados totales",1.04,g,258
ácidos grasos saturados totales,1.41,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,19,ug,310
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,3.2,mg,258
"folato, total",11,ug,32
"equivalentes de niacina, totales",1.5,mg,258
riboflavina,0.12,mg,258
tiamina,0.09,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.42,mg,258
Vitamina C (ácido ascórbico),17,mg,258
Minerales,,,
calcio,16,mg,258
"hierro, total",0.7,mg,258
potasio,400,mg,258
magnesio,41,mg,258
sodio,2,mg,258
fósforo,28,mg,258
ioduro,2,ug,258
"selenio, total",traza,ug,258
zinc (cinc),0.3,mg,258
