Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","424 (102)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.59,g,281
"proteina, total",7.7,g,281
agua (humedad),64.3,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",1.55,g,281
carbohidratos,15.97,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.03,g,281
"ácidos grasos, poliinsaturados totales",0.3,g,281
ácidos grasos saturados totales,0.1,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0.29,ug,281
Vitamina D,0,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.01,mg,281
"folato, total",3.25,ug,281
"equivalentes de niacina, totales",1.87,mg,281
riboflavina,0.03,mg,281
tiamina,0.1,mg,281
Vitamina B-12,0,ug,281
"Vitamina B-6, Total",0.29,mg,281
Vitamina C (ácido ascórbico),11.48,mg,281
Minerales,,,
calcio,18.62,mg,281
"hierro, total",1.86,mg,281
potasio,607.6,mg,281
magnesio,24.5,mg,281
sodio,3.82,mg,281
fósforo,166.6,mg,281
ioduro,2.94,ug,281
"selenio, total",1.96,ug,281
zinc (cinc),0.98,mg,281
