Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","489 (117)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.23,g,61
"proteina, total",3.9375,g,61
agua (humedad),70.4,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",1.2,g,61
carbohidratos,24.3,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.03,g,61
"ácidos grasos, poliinsaturados totales",0.1,g,61
ácidos grasos saturados totales,0.05,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.1,mg,61
"folato, total",4.8,ug,61
"equivalentes de niacina, totales",0.27,mg,61
riboflavina,0.02,mg,61
tiamina,0.16,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.32,mg,61
Vitamina C (ácido ascórbico),14,mg,61
Minerales,,,
calcio,17.8,mg,61
"hierro, total",1.2,mg,61
potasio,446,mg,38
magnesio,24.1,mg,61
sodio,19,mg,38
fósforo,134,mg,38
ioduro,4.7,ug,61
"selenio, total",0.5,ug,280
zinc (cinc),1.1,mg,61
