Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1558 (374)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0,g,30
"proteina, total",0.26,g,30
agua (humedad),7.5,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.9,g,30
carbohidratos,91.3,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,30
"ácidos grasos, poliinsaturados totales",traza,g,30
ácidos grasos saturados totales,traza,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,30
"folato, total",0,ug,30
"equivalentes de niacina, totales",0.3,mg,7
riboflavina,0,mg,30
tiamina,0,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,2,mg,30
"hierro, total",0.47,mg,30
potasio,3,mg,30
magnesio,3,mg,30
sodio,9,mg,30
fósforo,13,mg,30
ioduro,0.5,ug,7
"selenio, total",2.8,ug,30
zinc (cinc),0.06,mg,30
