Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1135 (272)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.3425,g,179
"proteina, total",22.225,g,179
agua (humedad),10.8,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",19.7,g,179
carbohidratos,41.6364,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,30
"ácidos grasos, monoinsaturados totales",0.0977,g,179
"ácidos grasos, poliinsaturados totales",0.6975,g,179
ácidos grasos saturados totales,0.2788,g,179
ácido graso 12:0 (láurico),0,g,30
ácido graso 14:0 (ácido mirístico),0.001,g,30
ácido graso 16:0 (ácido palmítico),0.285,g,30
ácido graso 18:0 (ácido esteárico),0.018,g,30
ácido graso 18:1 n-9 cis (ácido oléico),0.102,g,30
colesterol,0,mg,61
ácido graso 18:2,0.276,g,30
ácido graso 18:3,0.231,g,30
ácido graso 20:4 n-6  (ácido araquidónico),0,g,30
ácido graso 20:5 (ácido eicosapentaenóico),0,g,30
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1.0833,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.125,mg,179
"folato, total",308,ug,179
"equivalentes de niacina, totales",2.4,mg,33
riboflavina,0.165,mg,179
tiamina,0.5,mg,179
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.46,mg,179
Vitamina C (ácido ascórbico),1.7,mg,179
Minerales,,,
calcio,138.667,mg,179
"hierro, total",5.19,mg,179
potasio,1718,mg,175
magnesio,135.3,mg,179
sodio,13.7,mg,179
fósforo,470,mg,179
ioduro,1.6,ug,33
"selenio, total",3.2,ug,30
zinc (cinc),3.655,mg,179
