Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","888 (213)
							",kJ (kcal),236
"grasa, total (lipidos totales)",16.5,g,32
"proteina, total",16.3,g,32
agua (humedad),67.2,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,32
carbohidratos,0,g,32
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",8.9,g,32
"ácidos grasos, poliinsaturados totales",1.3,g,32
ácidos grasos saturados totales,2.8,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,50,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1000,ug,32
Vitamina D,110,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5.6,mg,32
"folato, total",13,ug,32
"equivalentes de niacina, totales",5.5,mg,32
riboflavina,0.32,mg,32
tiamina,0.17,mg,32
Vitamina B-12,1,ug,32
"Vitamina B-6, Total",0.3,mg,32
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,30,mg,32
"hierro, total",1,mg,32
potasio,270,mg,32
magnesio,19,mg,32
sodio,90,mg,7
fósforo,170,mg,7
ioduro,10,ug,32
"selenio, total",-,-,-
zinc (cinc),1.8,mg,32
