Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1057 (254)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13.9,g,313
"proteina, total",23,g,7
agua (humedad),59,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,0,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),1.806,g,313
"ácidos grasos, monoinsaturados totales",4.32,g,313
"ácidos grasos, poliinsaturados totales",5.67,g,313
ácidos grasos saturados totales,3.48,g,313
ácido graso 12:0 (láurico),0.031,g,313
ácido graso 14:0 (ácido mirístico),1.061,g,313
ácido graso 16:0 (ácido palmítico),1.725,g,313
ácido graso 18:0 (ácido esteárico),0.316,g,313
ácido graso 18:1 n-9 cis (ácido oléico),1.743,g,313
colesterol,50,mg,7
ácido graso 18:2,0.356,g,313
ácido graso 18:3,1.047,g,313
ácido graso 20:4 n-6  (ácido araquidónico),0.088,g,313
ácido graso 20:5 (ácido eicosapentaenóico),1.2,g,313
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,13,ug,7
Vitamina D,23.5,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,31
"folato, total",10,ug,149
"equivalentes de niacina, totales",2.5,mg,7
riboflavina,0.4,mg,7
tiamina,0.08,mg,31
Vitamina B-12,5,ug,7
"Vitamina B-6, Total",0.45,mg,7
Vitamina C (ácido ascórbico),0,mg,31
Minerales,,,
calcio,60,mg,7
"hierro, total",1.8,mg,7
potasio,520,mg,7
magnesio,50,mg,7
sodio,550,mg,31
fósforo,428,mg,7
ioduro,0.1,ug,7
"selenio, total",52.6,ug,30
zinc (cinc),0.5,mg,32
