Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1251 (300)
							",kJ (kcal),236
"grasa, total (lipidos totales)",26,g,7
"proteina, total",17,g,7
agua (humedad),57,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,0,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.6,g,7
"ácidos grasos, poliinsaturados totales",11.6,g,7
ácidos grasos saturados totales,6.4,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,13,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,50,ug,7
Vitamina D,40,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.71,mg,30
"folato, total",8,ug,7
"equivalentes de niacina, totales",4,mg,7
riboflavina,0.22,mg,7
tiamina,0.03,mg,7
Vitamina B-12,3,ug,7
"Vitamina B-6, Total",1.3,mg,7
Vitamina C (ácido ascórbico),2.7,mg,7
Minerales,,,
calcio,20,mg,7
"hierro, total",1,mg,7
potasio,75,mg,7
magnesio,36,mg,7
sodio,2610,mg,7
fósforo,220,mg,7
ioduro,18,ug,280
"selenio, total",22,ug,280
zinc (cinc),0.5,mg,7
