Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1620 (389)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.6,g,149
"proteina, total",6.3,g,149
agua (humedad),3,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",1.4,g,149
carbohidratos,87.7,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.15,g,149
"ácidos grasos, poliinsaturados totales",0.21,g,149
ácidos grasos saturados totales,0.14,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,2.8,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.6,mg,149
"folato, total",250,ug,149
"equivalentes de niacina, totales",16.8,mg,149
riboflavina,1.5,mg,149
tiamina,1.2,mg,149
Vitamina B-12,traza,ug,149
"Vitamina B-6, Total",0.94,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,10,mg,149
"hierro, total",6.5,mg,149
potasio,113,mg,149
magnesio,30,mg,149
sodio,600,mg,149
fósforo,110,mg,149
ioduro,5,ug,38
"selenio, total",15.4,ug,38
zinc (cinc),0.9,mg,180
