Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1607 (386)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.6353,g,61
"proteina, total",7.5,g,149
agua (humedad),11.4,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",3,g,149
carbohidratos,81.3,g,29
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.83,g,149
"ácidos grasos, poliinsaturados totales",0.89,g,149
ácidos grasos saturados totales,0.52,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,29
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,31
Vitamina D,0,ug,31
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.6,mg,149
"folato, total",40,ug,149
"equivalentes de niacina, totales",6.8,mg,29
riboflavina,0.08,mg,149
tiamina,0.39,mg,149
Vitamina B-12,0,ug,31
"Vitamina B-6, Total",0.51,mg,149
Vitamina C (ácido ascórbico),0,mg,31
Minerales,,,
calcio,21,mg,149
"hierro, total",1.7,mg,149
potasio,223,mg,149
magnesio,143,mg,149
sodio,6,mg,149
fósforo,303,mg,149
ioduro,2.2,ug,280
"selenio, total",2,ug,29
zinc (cinc),1.8,mg,154
