Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","467 (112)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.9,g,30
"proteina, total",2.6,g,30
agua (humedad),71.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1.8,g,30
carbohidratos,22.9,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.33,g,30
"ácidos grasos, poliinsaturados totales",0.32,g,30
ácidos grasos saturados totales,0.2,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,31
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.2,mg,149
"folato, total",10,ug,149
"equivalentes de niacina, totales",1.3,mg,29
riboflavina,0.02,mg,30
tiamina,0.1,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.15,mg,149
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,10,mg,30
"hierro, total",0.48,mg,30
potasio,43,mg,30
magnesio,43,mg,30
sodio,5,mg,30
fósforo,83,mg,30
ioduro,1.1,ug,280
"selenio, total",9.8,ug,30
zinc (cinc),0.63,mg,30
