Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","792 (190)
							",kJ (kcal),236
"grasa, total (lipidos totales)",7.8889,g,61
"proteina, total",29.4,g,149
agua (humedad),61,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2,g,149
"ácidos grasos, poliinsaturados totales",2.8,g,149
ácidos grasos saturados totales,2.3,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,48,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,34,ug,61
Vitamina D,5.8,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,149
"folato, total",16,ug,149
"equivalentes de niacina, totales",10.5,mg,149
riboflavina,0.15,mg,149
tiamina,0.2,mg,149
Vitamina B-12,8,ug,149
"Vitamina B-6, Total",0.53,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,35,mg,149
"hierro, total",1.2,mg,149
potasio,310,mg,149
magnesio,20,mg,149
sodio,47,mg,149
fósforo,200,mg,149
ioduro,30,ug,280
"selenio, total",36,ug,280
zinc (cinc),0.9,mg,61
