Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1670 (401)
							",kJ (kcal),236
"grasa, total (lipidos totales)",6.9,g,30
"proteina, total",16.9,g,30
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",10.6,g,30
carbohidratos,66.3,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.2,g,30
"ácidos grasos, poliinsaturados totales",2.5,g,30
ácidos grasos saturados totales,1.2,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,327
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.7,mg,30
"folato, total",56,ug,30
"equivalentes de niacina, totales",0.96,mg,30
riboflavina,0.14,mg,30
tiamina,0.76,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.12,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,54,mg,30
"hierro, total",4.72,mg,30
potasio,429,mg,30
magnesio,177,mg,30
sodio,2,mg,30
fósforo,523,mg,30
ioduro,6,ug,7
"selenio, total",5,ug,327
zinc (cinc),3.97,mg,30
