Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1700 (408)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0,g,61
"proteina, total",0,g,61
agua (humedad),traza,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,61
carbohidratos,100,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0,g,310
"ácidos grasos, monoinsaturados totales",0,g,61
"ácidos grasos, poliinsaturados totales",0,g,61
ácidos grasos saturados totales,0,g,61
ácido graso 12:0 (láurico),0,g,310
ácido graso 14:0 (ácido mirístico),0,g,310
ácido graso 16:0 (ácido palmítico),0,g,310
ácido graso 18:0 (ácido esteárico),0,g,310
ácido graso 18:1 n-9 cis (ácido oléico),0,g,310
colesterol,0,mg,61
ácido graso 18:2,0,g,310
ácido graso 18:3,0,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,61
"folato, total",0,ug,61
"equivalentes de niacina, totales",0,mg,61
riboflavina,0,mg,61
tiamina,0,mg,61
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,1,mg,61
"hierro, total",0.1,mg,61
potasio,2,mg,61
magnesio,traza,mg,61
sodio,0,mg,61
fósforo,traza,mg,61
ioduro,5,ug,280
"selenio, total",0.5,ug,280
zinc (cinc),0.1,mg,61
