Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1216 (292)
							",kJ (kcal),236
"grasa, total (lipidos totales)",22.1,g,160
"proteina, total",23.4,g,160
agua (humedad),50.5,g,160
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,180
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",9.3,g,160
"ácidos grasos, poliinsaturados totales",2.9,g,160
ácidos grasos saturados totales,8.3,g,160
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,80,mg,160
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,61
Vitamina D,0.6,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.07,mg,180
"folato, total",2,ug,180
"equivalentes de niacina, totales",7,mg,160
riboflavina,0.16,mg,180
tiamina,0.9,mg,180
Vitamina B-12,1,ug,180
"Vitamina B-6, Total",0.46,mg,180
Vitamina C (ácido ascórbico),traza,mg,180
Minerales,,,
calcio,7,mg,160
"hierro, total",0.7,mg,160
potasio,330,mg,160
magnesio,21,mg,160
sodio,1760,mg,160
fósforo,190,mg,160
ioduro,7,ug,160
"selenio, total",12,ug,160
zinc (cinc),2.2,mg,180
