Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","322 (77)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.7,g,258
"proteina, total",17.4,g,258
agua (humedad),81.9,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,258
carbohidratos,0,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.138,g,293
"ácidos grasos, monoinsaturados totales",0.08,g,258
"ácidos grasos, poliinsaturados totales",0.28,g,258
ácidos grasos saturados totales,0.18,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,46,mg,258
ácido graso 18:2,0.002,g,293
ácido graso 18:3,0.004,g,293
ácido graso 20:4 n-6  (ácido araquidónico),0.001,g,293
ácido graso 20:5 (ácido eicosapentaenóico),0.108,g,293
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,traza,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.44,mg,258
"folato, total",12,ug,32
"equivalentes de niacina, totales",4.9,mg,258
riboflavina,0.07,mg,258
tiamina,0.08,mg,258
Vitamina B-12,2,ug,258
"Vitamina B-6, Total",0.33,mg,258
Vitamina C (ácido ascórbico),traza,mg,258
Minerales,,,
calcio,16,mg,258
"hierro, total",0.3,mg,258
potasio,320,mg,258
magnesio,23,mg,258
sodio,77,mg,258
fósforo,218,mg,258
ioduro,30,ug,258
"selenio, total",28,ug,258
zinc (cinc),0.4,mg,258
