Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,281
"energía, total","314 (75)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.7,g,281
"proteina, total",16.97,g,281
agua (humedad),82.1,g,281
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,281
carbohidratos,0,g,281
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.1,g,281
"ácidos grasos, poliinsaturados totales",0.3,g,281
ácidos grasos saturados totales,0.1,g,281
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,46,mg,281
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,5.85,ug,281
Vitamina D,1.17,ug,281
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.4,mg,281
"folato, total",6.3,ug,281
"equivalentes de niacina, totales",4.41,mg,281
riboflavina,0.05,mg,281
tiamina,0.06,mg,281
Vitamina B-12,1.75,ug,281
"Vitamina B-6, Total",0.27,mg,281
Vitamina C (ácido ascórbico),1.35,mg,281
Minerales,,,
calcio,15.2,mg,281
"hierro, total",0.28,mg,281
potasio,296,mg,281
magnesio,21.85,mg,281
sodio,44.28,mg,281
fósforo,161.5,mg,281
ioduro,101.75,ug,281
"selenio, total",25.9,ug,281
zinc (cinc),0.37,mg,281
