Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1340 (322)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.75,g,7
"proteina, total",75,g,7
agua (humedad),23.3,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,0,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.2,g,7
"ácidos grasos, poliinsaturados totales",0.59,g,7
ácidos grasos saturados totales,0.71,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,50,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,15,ug,7
Vitamina D,5,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.3,mg,7
"folato, total",14,ug,7
"equivalentes de niacina, totales",1.1,mg,7
riboflavina,0.45,mg,7
tiamina,0.08,mg,7
Vitamina B-12,5,ug,7
"Vitamina B-6, Total",0.6,mg,7
Vitamina C (ácido ascórbico),0.1,mg,7
Minerales,,,
calcio,50,mg,7
"hierro, total",3.6,mg,7
potasio,160,mg,7
magnesio,28,mg,7
sodio,8100,mg,7
fósforo,891,mg,7
ioduro,60,ug,32
"selenio, total",28,ug,32
zinc (cinc),1,mg,32
