Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2087 (501)
							",kJ (kcal),236
"grasa, total (lipidos totales)",24.477,g,61
"proteina, total",6.5,g,149
agua (humedad),3.5,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",1.3,g,149
carbohidratos,63,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",11.2,g,149
"ácidos grasos, poliinsaturados totales",0.6,g,149
ácidos grasos saturados totales,11.6,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,17,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,34.1667,ug,61
Vitamina D,0.08,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,149
"folato, total",9,ug,61
"equivalentes de niacina, totales",0.4,mg,38
riboflavina,0.26,mg,149
tiamina,0.07,mg,149
Vitamina B-12,0.54,ug,149
"Vitamina B-6, Total",0.06,mg,149
Vitamina C (ácido ascórbico),1,mg,149
Minerales,,,
calcio,106,mg,149
"hierro, total",1.2,mg,149
potasio,200,mg,149
magnesio,52,mg,149
sodio,125,mg,149
fósforo,153,mg,149
ioduro,21.1,ug,280
"selenio, total",5,ug,30
zinc (cinc),1.1,mg,154
