Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1798 (431)
							",kJ (kcal),236
"grasa, total (lipidos totales)",13.8,g,7
"proteina, total",7.4,g,7
agua (humedad),9.4,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",1.1,g,7
carbohidratos,68.3,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,10.1,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.94,mg,30
"folato, total",15,ug,30
"equivalentes de niacina, totales",9.091,mg,30
riboflavina,0.773,mg,30
tiamina,0.682,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.909,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,31,mg,30
"hierro, total",2.56,mg,30
potasio,143,mg,30
magnesio,46,mg,30
sodio,500,mg,30
fósforo,136,mg,30
ioduro,3.7,ug,280
"selenio, total",24.9,ug,30
zinc (cinc),1.78,mg,30
