Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","346 (83)
							",kJ (kcal),236
"grasa, total (lipidos totales)",3.6,g,38
"proteina, total",2.7,g,38
agua (humedad),83.1,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0.8,g,38
carbohidratos,9.8,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1,g,38
"ácidos grasos, poliinsaturados totales",0.1,g,38
ácidos grasos saturados totales,2.3,g,38
ácido graso 12:0 (láurico),0.025,g,326
ácido graso 14:0 (ácido mirístico),0.088,g,326
ácido graso 16:0 (ácido palmítico),0.302,g,326
ácido graso 18:0 (ácido esteárico),0.146,g,326
ácido graso 18:1 n-9 cis (ácido oléico),0.202,g,326
colesterol,13,mg,38
ácido graso 18:2,0.022,g,326
ácido graso 18:3,0.003,g,326
ácido graso 20:4 n-6  (ácido araquidónico),0.001,g,326
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,36.17,ug,38
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.09,mg,38
"folato, total",5,ug,38
"equivalentes de niacina, totales",0.75,mg,38
riboflavina,0.09,mg,38
tiamina,0.04,mg,38
Vitamina B-12,0.36,ug,38
"Vitamina B-6, Total",0.04,mg,38
Vitamina C (ácido ascórbico),1,mg,38
Minerales,,,
calcio,111,mg,38
"hierro, total",0.3,mg,38
potasio,192,mg,38
magnesio,22,mg,38
sodio,49,mg,38
fósforo,95,mg,38
ioduro,7.2,ug,38
"selenio, total",1.9,ug,38
zinc (cinc),0.4,mg,38
