Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,282
"energía, total","19 (5)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.08,g,282
"proteina, total",0.25,g,282
agua (humedad),98.35,g,282
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,0.7,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0,g,30
"ácidos grasos, poliinsaturados totales",0,g,30
ácidos grasos saturados totales,0,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,282
Vitamina D,0,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,30
"folato, total",1.995,ug,282
"equivalentes de niacina, totales",8.5,mg,282
riboflavina,0.575,mg,282
tiamina,0.025,mg,282
Vitamina B-12,1.99,ug,282
"Vitamina B-6, Total",1.9,mg,282
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,13,mg,282
"hierro, total",0.02,mg,282
potasio,3,mg,282
magnesio,3,mg,282
sodio,39,mg,282
fósforo,0,mg,282
ioduro,0.4,ug,280
"selenio, total",0.2,ug,282
zinc (cinc),0,mg,30
