Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1247 (299)
							",kJ (kcal),236
"grasa, total (lipidos totales)",31.9038,g,61
"proteina, total",1.2,g,154
agua (humedad),59.5,g,154
Hidratos de Carbono,,,
"fibra, dietetica total",2.9,g,154
carbohidratos,2.7061,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.2,g,61
"ácidos grasos, poliinsaturados totales",19.6,g,61
ácidos grasos saturados totales,3.7,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,20.8333,ug,61
Vitamina D,0,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5.5,mg,154
"folato, total",5,ug,154
"equivalentes de niacina, totales",traza,mg,29
riboflavina,traza,mg,154
tiamina,0,mg,154
Vitamina B-12,0,ug,61
"Vitamina B-6, Total",0.07,mg,154
Vitamina C (ácido ascórbico),1,mg,154
Minerales,,,
calcio,8,mg,154
"hierro, total",0.5,mg,154
potasio,170,mg,154
magnesio,8,mg,154
sodio,2,mg,154
fósforo,25,mg,154
ioduro,4.4,ug,280
"selenio, total",0.3,ug,280
zinc (cinc),0.1,mg,154
