Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1594 (383)
							",kJ (kcal),236
"grasa, total (lipidos totales)",21.9,g,61
"proteina, total",6.5,g,61
agua (humedad),28.2,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",0.8,g,61
carbohidratos,39.6,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",6.78,g,61
"ácidos grasos, poliinsaturados totales",1.01,g,61
ácidos grasos saturados totales,13.13,g,61
ácido graso 12:0 (láurico),0.044,g,303
ácido graso 14:0 (ácido mirístico),0.371,g,303
ácido graso 16:0 (ácido palmítico),3.528,g,303
ácido graso 18:0 (ácido esteárico),1.415,g,303
ácido graso 18:1 n-9 cis (ácido oléico),7.088,g,303
colesterol,179,mg,61
ácido graso 18:2,15.382,g,303
ácido graso 18:3,1.97,g,303
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,248,ug,61
Vitamina D,0.84,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.91,mg,61
"folato, total",34,ug,61
"equivalentes de niacina, totales",0.17,mg,61
riboflavina,0.16,mg,61
tiamina,0.05,mg,61
Vitamina B-12,0.5,ug,61
"Vitamina B-6, Total",0.1,mg,61
Vitamina C (ácido ascórbico),0,mg,61
Minerales,,,
calcio,25,mg,61
"hierro, total",0.9,mg,61
potasio,75,mg,61
magnesio,9,mg,61
sodio,46,mg,61
fósforo,93,mg,61
ioduro,12.1,ug,280
"selenio, total",6.3,ug,280
zinc (cinc),0.5,mg,61
