Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","1868 (448)
							",kJ (kcal),236
"grasa, total (lipidos totales)",23,g,61
"proteina, total",7,g,61
agua (humedad),15.1,g,61
Hidratos de Carbono,,,
"fibra, dietetica total",2.3,g,61
carbohidratos,52.8,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",7.68,g,61
"ácidos grasos, poliinsaturados totales",6.21,g,61
ácidos grasos saturados totales,8.35,g,61
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,253,mg,61
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,150,ug,61
Vitamina D,1.23,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,traza,mg,61
"folato, total",8,ug,61
"equivalentes de niacina, totales",1.5,mg,61
riboflavina,0.08,mg,61
tiamina,0.05,mg,61
Vitamina B-12,traza,ug,61
"Vitamina B-6, Total",0.06,mg,61
Vitamina C (ácido ascórbico),traza,mg,61
Minerales,,,
calcio,40,mg,61
"hierro, total",1,mg,61
potasio,78,mg,61
magnesio,19,mg,61
sodio,178,mg,61
fósforo,91,mg,61
ioduro,0,ug,61
"selenio, total",3,ug,61
zinc (cinc),0.6,mg,61
