Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","858 (206)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.4,g,149
"proteina, total",32.2,g,149
agua (humedad),57.8,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.8,g,149
"ácidos grasos, poliinsaturados totales",4.2,g,149
ácidos grasos saturados totales,1.8,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,33,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,26,ug,61
Vitamina D,3.1,ug,149
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2,mg,149
"folato, total",5,ug,149
"equivalentes de niacina, totales",8,mg,149
riboflavina,0.1,mg,149
tiamina,0.1,mg,149
Vitamina B-12,5,ug,149
"Vitamina B-6, Total",0.52,mg,149
Vitamina C (ácido ascórbico),traza,mg,149
Minerales,,,
calcio,10,mg,149
"hierro, total",1.2,mg,149
potasio,267,mg,149
magnesio,33,mg,149
sodio,347,mg,149
fósforo,200,mg,149
ioduro,-,-,-
"selenio, total",60.1,ug,30
zinc (cinc),1.1,mg,61
