Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,282
"energía, total","831 (200)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.5,g,282
"proteina, total",23.875,g,282
agua (humedad),64.7,g,282
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,282
carbohidratos,0,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",3.1,g,282
"ácidos grasos, poliinsaturados totales",5.4,g,282
ácidos grasos saturados totales,1.8,g,282
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,46.7,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,-,-,-
Vitamina D,23.8,ug,282
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,7.2,mg,282
"folato, total",15.5,ug,282
"equivalentes de niacina, totales",13.5,mg,282
riboflavina,0.11,mg,282
tiamina,0.05,mg,282
Vitamina B-12,5,ug,282
"Vitamina B-6, Total",0.42,mg,282
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,28.5,mg,282
"hierro, total",1,mg,282
potasio,333,mg,30
magnesio,29,mg,282
sodio,396,mg,30
fósforo,,mg,282
ioduro,37,ug,282
"selenio, total",60.1,ug,30
zinc (cinc),1.1,mg,282
