Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","852 (204)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.73,g,295
"proteina, total",26.23,g,179
agua (humedad),59.5,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.925,g,295
"ácidos grasos, monoinsaturados totales",1.03,g,295
"ácidos grasos, poliinsaturados totales",1.26,g,295
ácidos grasos saturados totales,1.13,g,295
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.071,g,295
ácido graso 16:0 (ácido palmítico),0.711,g,295
ácido graso 18:0 (ácido esteárico),0.264,g,295
ácido graso 18:1 n-9 cis (ácido oléico),0.667,g,295
colesterol,46.7,mg,151
ácido graso 18:2,0.045,g,295
ácido graso 18:3,0.012,g,295
ácido graso 20:4 n-6  (ácido araquidónico),0.035,g,295
ácido graso 20:5 (ácido eicosapentaenóico),0.186,g,295
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,5,ug,30
Vitamina D,23.8,ug,151
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,7.2,mg,151
"folato, total",15.5,ug,151
"equivalentes de niacina, totales",13.5,mg,284
riboflavina,0.11,mg,151
tiamina,0.05,mg,151
Vitamina B-12,5,ug,151
"Vitamina B-6, Total",0.42,mg,151
Vitamina C (ácido ascórbico),traza,mg,310
Minerales,,,
calcio,28.5,mg,151
"hierro, total",1,mg,151
potasio,267,mg,61
magnesio,29,mg,151
sodio,347,mg,61
fósforo,200,mg,61
ioduro,-,-,-
"selenio, total",60.1,ug,30
zinc (cinc),1.1,mg,151
