Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","109 (26)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.7,g,38
"proteina, total",1.8,g,38
agua (humedad),94.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",,g,38
carbohidratos,3.06,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.211,g,38
"ácidos grasos, poliinsaturados totales",0.109,g,38
ácidos grasos saturados totales,0.17,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,210,ug,38
Vitamina D,13,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,,mg,38
"folato, total",13,ug,38
"equivalentes de niacina, totales",,mg,38
riboflavina,0.15,mg,38
tiamina,0.06,mg,38
Vitamina B-12,0,ug,38
"Vitamina B-6, Total",0.084,mg,38
Vitamina C (ácido ascórbico),35,mg,38
Minerales,,,
calcio,93,mg,38
"hierro, total",3.3,mg,38
potasio,470,mg,38
magnesio,52,mg,38
sodio,80,mg,38
fósforo,53,mg,38
ioduro,,ug,38
"selenio, total",0.9,ug,38
zinc (cinc),0.2,mg,38
