Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","758 (182)
							",kJ (kcal),236
"grasa, total (lipidos totales)",11.9,g,38
"proteina, total",18.68,g,38
agua (humedad),69.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,0,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.796,g,295
"ácidos grasos, monoinsaturados totales",2.363,g,38
"ácidos grasos, poliinsaturados totales",2.47,g,38
ácidos grasos saturados totales,3.449,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.102,g,295
ácido graso 16:0 (ácido palmítico),0.616,g,295
ácido graso 18:0 (ácido esteárico),0.355,g,295
ácido graso 18:1 n-9 cis (ácido oléico),0.705,g,295
colesterol,76,mg,38
ácido graso 18:2,0.07,g,295
ácido graso 18:3,0.037,g,295
ácido graso 20:4 n-6  (ácido araquidónico),0.067,g,295
ácido graso 20:5 (ácido eicosapentaenóico),0.267,g,295
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,45,ug,61
Vitamina D,4,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.3,mg,38
"folato, total",1.2,ug,38
"equivalentes de niacina, totales",12.47,mg,38
riboflavina,0.36,mg,38
tiamina,0.13,mg,38
Vitamina B-12,9,ug,38
"Vitamina B-6, Total",0.63,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,12,mg,38
"hierro, total",1.2,mg,38
potasio,386,mg,38
magnesio,30,mg,38
sodio,84,mg,38
fósforo,244,mg,38
ioduro,51,ug,38
"selenio, total",39,ug,38
zinc (cinc),0.519,mg,38
