Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","385 (92)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.6857,g,61
"proteina, total",19,g,187
agua (humedad),79,g,187
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.33,g,149
"ácidos grasos, poliinsaturados totales",0.48,g,149
ácidos grasos saturados totales,0.37,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,35,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,57,ug,61
Vitamina D,0,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,180
"folato, total",3.4,ug,180
"equivalentes de niacina, totales",0,mg,180
riboflavina,0.07,mg,149
tiamina,0.04,mg,149
Vitamina B-12,0,ug,180
"Vitamina B-6, Total",0,mg,180
Vitamina C (ácido ascórbico),0.01,mg,180
Minerales,,,
calcio,9,mg,149
"hierro, total",0.4,mg,149
potasio,405,mg,149
magnesio,26,mg,149
sodio,60,mg,149
fósforo,178,mg,149
ioduro,-,-,-
"selenio, total",63,ug,30
zinc (cinc),0.1,mg,180
