Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","1103 (265)
							",kJ (kcal),236
"grasa, total (lipidos totales)",19.5,g,372
"proteina, total",22.46,g,372
agua (humedad),56.98,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,372
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",6.04,g,372
"ácidos grasos, poliinsaturados totales",0.85,g,372
ácidos grasos saturados totales,6.26,g,372
ácido graso 12:0 (láurico),0.03,g,372
ácido graso 14:0 (ácido mirístico),0.45,g,372
ácido graso 16:0 (ácido palmítico),3.18,g,372
ácido graso 18:0 (ácido esteárico),2.06,g,372
ácido graso 18:1 n-9 cis (ácido oléico),5.49,g,372
colesterol,88.56,mg,372
ácido graso 18:2,0.58,g,372
ácido graso 18:3,0.05,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.07,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,20,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.21,mg,372
"folato, total",1.9,ug,372
"equivalentes de niacina, totales",3.07,mg,372
riboflavina,0.05,mg,372
tiamina,0.1,mg,372
Vitamina B-12,2.36,ug,372
"Vitamina B-6, Total",0.54,mg,372
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,18.71,mg,372
"hierro, total",0.75,mg,372
potasio,280.9,mg,372
magnesio,18.34,mg,372
sodio,93.24,mg,372
fósforo,174.16,mg,372
ioduro,-,-,-
"selenio, total",10.69,ug,372
zinc (cinc),3.01,mg,372
