Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","856 (205)
							",kJ (kcal),236
"grasa, total (lipidos totales)",14.58,g,372
"proteina, total",18.63,g,372
agua (humedad),65.83,g,372
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,372
carbohidratos,0,g,372
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.01,g,372
"ácidos grasos, monoinsaturados totales",5.19,g,372
"ácidos grasos, poliinsaturados totales",0.73,g,372
ácidos grasos saturados totales,5.2,g,372
ácido graso 12:0 (láurico),0.03,g,372
ácido graso 14:0 (ácido mirístico),0.38,g,372
ácido graso 16:0 (ácido palmítico),2.63,g,372
ácido graso 18:0 (ácido esteárico),1.72,g,372
ácido graso 18:1 n-9 cis (ácido oléico),4.76,g,372
colesterol,61.79,mg,372
ácido graso 18:2,0.49,g,372
ácido graso 18:3,0.05,g,372
ácido graso 20:4 n-6  (ácido araquidónico),0.06,g,372
ácido graso 20:5 (ácido eicosapentaenóico),0.01,g,372
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,372
Vitamina D,traza,ug,372
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.27,mg,372
"folato, total",3.44,ug,372
"equivalentes de niacina, totales",2.63,mg,372
riboflavina,0.1,mg,372
tiamina,0.13,mg,372
Vitamina B-12,2.28,ug,372
"Vitamina B-6, Total",0.77,mg,372
Vitamina C (ácido ascórbico),0,mg,372
Minerales,,,
calcio,13.7,mg,372
"hierro, total",0.81,mg,372
potasio,288.19,mg,372
magnesio,18.76,mg,372
sodio,85.14,mg,372
fósforo,187.81,mg,372
ioduro,-,-,-
"selenio, total",10.6,ug,372
zinc (cinc),3.15,mg,372
