Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","476 (114)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4,g,7
"proteina, total",19.3,g,7
agua (humedad),76.7,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,7
carbohidratos,traza,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.2,g,38
"ácidos grasos, poliinsaturados totales",0.3,g,38
ácidos grasos saturados totales,1.5,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,56,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,0.4,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.09,mg,38
"folato, total",5,ug,38
"equivalentes de niacina, totales",6,mg,7
riboflavina,0.1,mg,7
tiamina,0.32,mg,7
Vitamina B-12,2,ug,38
"Vitamina B-6, Total",0.3,mg,7
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,9,mg,7
"hierro, total",0.9,mg,7
potasio,385,mg,38
magnesio,22,mg,38
sodio,82,mg,38
fósforo,220,mg,38
ioduro,5,ug,38
"selenio, total",1,ug,38
zinc (cinc),2,mg,38
