Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","2498 (600)
							",kJ (kcal),236
"grasa, total (lipidos totales)",53,g,258
"proteina, total",24.5,g,258
agua (humedad),8.5,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",6.9,g,258
carbohidratos,7.1,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",24.2,g,258
"ácidos grasos, poliinsaturados totales",16.5,g,258
ácidos grasos saturados totales,9.5,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.66,mg,258
"folato, total",52,ug,32
"equivalentes de niacina, totales",18.9,mg,258
riboflavina,0.1,mg,258
tiamina,0.18,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.63,mg,258
Vitamina C (ácido ascórbico),0,mg,258
Minerales,,,
calcio,37,mg,258
"hierro, total",1.3,mg,258
potasio,810,mg,258
magnesio,180,mg,258
sodio,400,mg,258
fósforo,410,mg,258
ioduro,19,ug,258
"selenio, total",4,ug,258
zinc (cinc),2.9,mg,258
