Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1607 (386)
							",kJ (kcal),236
"grasa, total (lipidos totales)",8.1,g,7
"proteina, total",9.8,g,7
agua (humedad),13,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0.8,g,7
carbohidratos,67.1,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.56,g,7
"ácidos grasos, poliinsaturados totales",0.25,g,7
ácidos grasos saturados totales,4.47,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,6,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.43,mg,38
"folato, total",15,ug,38
"equivalentes de niacina, totales",1.08,mg,38
riboflavina,1.4,mg,38
tiamina,0.267,mg,38
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0.318,mg,38
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,40,mg,7
"hierro, total",4.96,mg,38
potasio,550,mg,7
magnesio,208,mg,38
sodio,200,mg,7
fósforo,210,mg,7
ioduro,3.1,ug,38
"selenio, total",16.7,ug,38
zinc (cinc),3.44,mg,38
