Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","1625 (390)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4,g,38
"proteina, total",5.88,g,38
agua (humedad),1.5,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",3.5,g,38
carbohidratos,81.02,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.32,g,38
"ácidos grasos, poliinsaturados totales",0.12,g,38
ácidos grasos saturados totales,2.5,g,38
ácido graso 12:0 (láurico),0.001,g,326
ácido graso 14:0 (ácido mirístico),0.003,g,326
ácido graso 16:0 (ácido palmítico),0.648,g,326
ácido graso 18:0 (ácido esteárico),0.743,g,326
ácido graso 18:1 n-9 cis (ácido oléico),0.541,g,326
colesterol,6,mg,38
ácido graso 18:2,0.289,g,326
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,1,ug,38
Vitamina D,0,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.53,mg,38
"folato, total",15,ug,38
"equivalentes de niacina, totales",3.08,mg,38
riboflavina,0.56,mg,38
tiamina,0.1,mg,38
Vitamina B-12,1.32,ug,38
"Vitamina B-6, Total",0.11,mg,38
Vitamina C (ácido ascórbico),1.8,mg,38
Minerales,,,
calcio,141,mg,38
"hierro, total",1.19,mg,38
potasio,712,mg,38
magnesio,83,mg,38
sodio,504,mg,38
fósforo,315,mg,38
ioduro,3.1,ug,38
"selenio, total",5,ug,38
zinc (cinc),1.46,mg,38
