Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,61
"energía, total","158 (38)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.3654,g,61
"proteina, total",1.7,g,180
agua (humedad),94,g,180
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,180
carbohidratos,2.45,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.6235,g,180
"ácidos grasos, poliinsaturados totales",0.0656,g,180
ácidos grasos saturados totales,1.2032,g,180
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,8,mg,180
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,15.8333,ug,61
Vitamina D,0.01,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.04,mg,180
"folato, total",1.66,ug,180
"equivalentes de niacina, totales",0.7,mg,180
riboflavina,0.08,mg,180
tiamina,0.02,mg,180
Vitamina B-12,0.1,ug,180
"Vitamina B-6, Total",0.01,mg,180
Vitamina C (ácido ascórbico),0.5,mg,180
Minerales,,,
calcio,55,mg,180
"hierro, total",0.05,mg,180
potasio,90,mg,180
magnesio,8,mg,180
sodio,23,mg,180
fósforo,42,mg,180
ioduro,17.4,ug,280
"selenio, total",2.8,ug,280
zinc (cinc),0.18,mg,180
