Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1263 (303)
							",kJ (kcal),236
"grasa, total (lipidos totales)",15.4,g,7
"proteina, total",10.4,g,7
agua (humedad),43.8,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",58.2,g,38
carbohidratos,30.4,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.1,g,38
"ácidos grasos, poliinsaturados totales",5.1,g,38
ácidos grasos saturados totales,5.2,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,7
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,7
Vitamina D,0,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0,mg,7
"folato, total",0,ug,7
"equivalentes de niacina, totales",9.3,mg,7
riboflavina,0.19,mg,7
tiamina,0,mg,7
Vitamina B-12,0,ug,7
"Vitamina B-6, Total",0,mg,7
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,120,mg,7
"hierro, total",3.8,mg,7
potasio,1869,mg,7
magnesio,222,mg,7
sodio,69,mg,7
fósforo,148,mg,7
ioduro,0,ug,7
"selenio, total",0,ug,7
zinc (cinc),0,mg,7
