Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","372 (89)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2,g,32
"proteina, total",17,g,32
agua (humedad),80.5,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,32
carbohidratos,0.5,g,32
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.15,g,32
"ácidos grasos, poliinsaturados totales",0.74,g,32
ácidos grasos saturados totales,0.52,g,32
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,200,mg,32
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,70,ug,32
Vitamina D,traza,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.82,mg,32
"folato, total",3.4,ug,32
"equivalentes de niacina, totales",3.6,mg,32
riboflavina,0.14,mg,32
tiamina,0.07,mg,32
Vitamina B-12,1.3,ug,32
"Vitamina B-6, Total",0.03,mg,32
Vitamina C (ácido ascórbico),0,mg,32
Minerales,,,
calcio,78,mg,32
"hierro, total",1.7,mg,32
potasio,90,mg,7
magnesio,36,mg,32
sodio,430,mg,7
fósforo,185,mg,32
ioduro,64,ug,32
"selenio, total",44.8,ug,32
zinc (cinc),1.2,mg,32
