Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","299 (72)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.47,g,310
"proteina, total",14,g,187
agua (humedad),79.75,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,1.0909,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.37,g,310
"ácidos grasos, monoinsaturados totales",0.18,g,310
"ácidos grasos, poliinsaturados totales",0.66,g,310
ácidos grasos saturados totales,0.46,g,310
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),0.04,g,310
ácido graso 16:0 (ácido palmítico),0.3,g,310
ácido graso 18:0 (ácido esteárico),0.07,g,310
ácido graso 18:1 n-9 cis (ácido oléico),0.09,g,310
colesterol,187.5,mg,179
ácido graso 18:2,0.01,g,310
ácido graso 18:3,0,g,310
ácido graso 20:4 n-6  (ácido araquidónico),0.02,g,310
ácido graso 20:5 (ácido eicosapentaenóico),0.17,g,310
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,15,ug,61
Vitamina D,traza,ug,150
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.2,mg,150
"folato, total",5,ug,30
"equivalentes de niacina, totales",2.8,mg,179
riboflavina,0.16,mg,179
tiamina,0.06,mg,179
Vitamina B-12,2.15,ug,179
"Vitamina B-6, Total",0.375,mg,179
Vitamina C (ácido ascórbico),0,mg,150
Minerales,,,
calcio,20.3333,mg,179
"hierro, total",3.9,mg,179
potasio,316.333,mg,179
magnesio,31.6667,mg,179
sodio,136.5,mg,179
fósforo,158.5,mg,179
ioduro,-,-,-
"selenio, total",44.8,ug,30
zinc (cinc),2.1,mg,179
