Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","436 (105)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.4,g,7
"proteina, total",11.3,g,7
agua (humedad),77.2,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",traza,g,280
carbohidratos,9.1,g,7
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.1,g,7
"ácidos grasos, poliinsaturados totales",traza,g,7
ácidos grasos saturados totales,1.3,g,7
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,traza,mg,280
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,62.45,ug,7
Vitamina D,-,-,-
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.94,mg,7
"folato, total",0.58,ug,7
"equivalentes de niacina, totales",traza,mg,280
riboflavina,0.01,mg,280
tiamina,traza,mg,280
Vitamina B-12,0.84,ug,7
"Vitamina B-6, Total",0.14,mg,7
Vitamina C (ácido ascórbico),0,mg,7
Minerales,,,
calcio,20,mg,7
"hierro, total",2.5,mg,7
potasio,74.3,mg,7
magnesio,50.3,mg,7
sodio,278.3,mg,7
fósforo,115.5,mg,7
ioduro,0.1,ug,280
"selenio, total",traza,ug,280
zinc (cinc),1.3,mg,7
