Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","347 (83)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.6,g,38
"proteina, total",17.6,g,38
agua (humedad),80.3,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,1.5,g,38
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.185,g,293
"ácidos grasos, monoinsaturados totales",0.2,g,38
"ácidos grasos, poliinsaturados totales",0.1,g,38
ácidos grasos saturados totales,0.1,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,195,mg,38
ácido graso 18:2,0.002,g,293
ácido graso 18:3,0.004,g,293
ácido graso 20:4 n-6  (ácido araquidónico),0.001,g,293
ácido graso 20:5 (ácido eicosapentaenóico),0.161,g,293
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,38
Vitamina D,traza,ug,38
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.85,mg,38
"folato, total",12,ug,38
"equivalentes de niacina, totales",3.2,mg,38
riboflavina,0.1,mg,38
tiamina,0.04,mg,38
Vitamina B-12,7,ug,38
"Vitamina B-6, Total",0.05,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,79,mg,38
"hierro, total",1.6,mg,38
potasio,330,mg,38
magnesio,34,mg,38
sodio,190,mg,38
fósforo,180,mg,38
ioduro,90,ug,38
"selenio, total",24.3,ug,38
zinc (cinc),1.5,mg,38
