Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,38
"energía, total","518 (124)
							",kJ (kcal),310
"grasa, total (lipidos totales)",5.1,g,38
"proteina, total",19.5,g,38
agua (humedad),75.4,g,38
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,38
carbohidratos,-,-,-
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.13,g,38
"ácidos grasos, poliinsaturados totales",2.18,g,38
ácidos grasos saturados totales,0.69,g,38
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,100,mg,38
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,7
Vitamina D,traza,ug,7
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,2.3,mg,38
"folato, total",20,ug,38
"equivalentes de niacina, totales",6.3,mg,38
riboflavina,0.15,mg,38
tiamina,0.1,mg,38
Vitamina B-12,traza,ug,32
"Vitamina B-6, Total",0.3,mg,38
Vitamina C (ácido ascórbico),0,mg,38
Minerales,,,
calcio,30,mg,38
"hierro, total",1.3,mg,38
potasio,270,mg,38
magnesio,48,mg,38
sodio,370,mg,38
fósforo,160,mg,38
ioduro,40,ug,38
"selenio, total",37.4,ug,38
zinc (cinc),3.8,mg,38
