Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","57 (14)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.4,g,258
"proteina, total",1.8,g,258
agua (humedad),95.6,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",1.5,g,258
carbohidratos,0.7,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",,g,258
"ácidos grasos, poliinsaturados totales",,g,258
ácidos grasos saturados totales,,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,442,ug,310
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1,mg,258
"folato, total",0,ug,32
"equivalentes de niacina, totales",0.38,mg,258
riboflavina,0.08,mg,258
tiamina,0.065,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.25,mg,258
Vitamina C (ácido ascórbico),35,mg,258
Minerales,,,
calcio,35,mg,258
"hierro, total",2,mg,258
potasio,421,mg,258
magnesio,13,mg,258
sodio,4,mg,258
fósforo,49,mg,258
ioduro,33.5,ug,258
"selenio, total",,ug,258
zinc (cinc),0.54,mg,258
