Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,282
"energía, total","360 (86)
							",kJ (kcal),236
"grasa, total (lipidos totales)",1.4,g,282
"proteina, total",16.1,g,282
agua (humedad),79.2,g,282
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,2,g,282
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.259,g,282
"ácidos grasos, poliinsaturados totales",0.252,g,282
ácidos grasos saturados totales,0.361,g,282
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,50,mg,282
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,30,ug,282
Vitamina D,traza,ug,32
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,5,mg,282
"folato, total",6,ug,282
"equivalentes de niacina, totales",1.4,mg,282
riboflavina,0.12,mg,282
tiamina,0.01,mg,282
Vitamina B-12,0.5,ug,282
"Vitamina B-6, Total",0.13,mg,282
Vitamina C (ácido ascórbico),traza,mg,32
Minerales,,,
calcio,10,mg,282
"hierro, total",3.5,mg,282
potasio,382,mg,282
magnesio,250,mg,282
sodio,70,mg,282
fósforo,272,mg,282
ioduro,-,-,-
"selenio, total",27.4,ug,282
zinc (cinc),1,mg,282
