Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","91 (22)
							",kJ (kcal),236
"grasa, total (lipidos totales)",0.2,g,258
"proteina, total",1.4,g,258
agua (humedad),93.9,g,258
Hidratos de Carbono,,,
"fibra, dietetica total",1,g,258
carbohidratos,3.5,g,258
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",traza,g,258
"ácidos grasos, poliinsaturados totales",traza,g,258
ácidos grasos saturados totales,traza,g,258
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,258
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,traza,ug,258
Vitamina D,0,ug,258
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.9,mg,38
"folato, total",34,ug,38
"equivalentes de niacina, totales",0.2,mg,258
riboflavina,0.03,mg,258
tiamina,0.01,mg,258
Vitamina B-12,0,ug,258
"Vitamina B-6, Total",0.05,mg,38
Vitamina C (ácido ascórbico),1,mg,258
Minerales,,,
calcio,70,mg,61
"hierro, total",1.5,mg,258
potasio,392,mg,258
magnesio,32,mg,38
sodio,220,mg,258
fósforo,46,mg,258
ioduro,1,ug,38
"selenio, total",0.7,ug,258
zinc (cinc),0.2,mg,38
