Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","574 (138)
							",kJ (kcal),236
"grasa, total (lipidos totales)",5,g,373
"proteina, total",22.9,g,373
agua (humedad),71.03,g,373
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,traza,g,373
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.568,g,373
"ácidos grasos, poliinsaturados totales",0.5635,g,373
ácidos grasos saturados totales,1.8415,g,373
ácido graso 12:0 (láurico),0.006,g,373
ácido graso 14:0 (ácido mirístico),0.071,g,373
ácido graso 16:0 (ácido palmítico),1.175,g,373
ácido graso 18:0 (ácido esteárico),0.557,g,373
ácido graso 18:1 n-9 cis (ácido oléico),2.338,g,373
colesterol,68.5,mg,373
ácido graso 18:2,0.527,g,373
ácido graso 18:3,0.037,g,373
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,3.8,ug,373
Vitamina D,-,-,-
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",traza,ug,373
"equivalentes de niacina, totales",6.1,mg,373
riboflavina,0.14,mg,373
tiamina,0.42,mg,373
Vitamina B-12,0.3,ug,373
"Vitamina B-6, Total",0.34,mg,373
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,13,mg,373
"hierro, total",0.89,mg,373
potasio,208,mg,373
magnesio,31,mg,373
sodio,40,mg,373
fósforo,197,mg,373
ioduro,-,-,-
"selenio, total",27,ug,373
zinc (cinc),2.5,mg,373
