Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),-,-,-
"energía, total","516 (124)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,373
"proteina, total",24.9,g,373
agua (humedad),71.47,g,373
Hidratos de Carbono,,,
"fibra, dietetica total",-,-,-
carbohidratos,traza,g,373
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",1.253,g,373
"ácidos grasos, poliinsaturados totales",0.253,g,373
ácidos grasos saturados totales,0.979,g,373
ácido graso 12:0 (láurico),0.017,g,373
ácido graso 14:0 (ácido mirístico),0.039,g,373
ácido graso 16:0 (ácido palmítico),0.618,g,373
ácido graso 18:0 (ácido esteárico),0.305,g,373
ácido graso 18:1 n-9 cis (ácido oléico),1.162,g,373
colesterol,61,mg,373
ácido graso 18:2,0.24,g,373
ácido graso 18:3,0.013,g,373
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,4.05,ug,373
Vitamina D,-,-,-
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,-,-,-
"folato, total",traza,ug,373
"equivalentes de niacina, totales",7.1,mg,373
riboflavina,0.15,mg,373
tiamina,0.48,mg,373
Vitamina B-12,0.2,ug,373
"Vitamina B-6, Total",0.65,mg,373
Vitamina C (ácido ascórbico),-,-,-
Minerales,,,
calcio,14.5,mg,373
"hierro, total",0.91,mg,373
potasio,490,mg,373
magnesio,29,mg,373
sodio,41,mg,373
fósforo,176.5,mg,373
ioduro,-,-,-
"selenio, total",29,ug,373
zinc (cinc),1.75,mg,373
