Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","622 (149)
							",kJ (kcal),236
"grasa, total (lipidos totales)",7.4286,g,61
"proteina, total",20.4,g,149
agua (humedad),73.3,g,149
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",2.5,g,149
"ácidos grasos, poliinsaturados totales",1.5,g,149
ácidos grasos saturados totales,1.2,g,149
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,75,mg,149
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,44.0017,ug,61
Vitamina D,0.01,ug,180
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.63,mg,149
"folato, total",5.8,ug,180
"equivalentes de niacina, totales",1.5,mg,149
riboflavina,0.05,mg,149
tiamina,0.05,mg,149
Vitamina B-12,1.5,ug,149
"Vitamina B-6, Total",0.22,mg,149
Vitamina C (ácido ascórbico),0,mg,149
Minerales,,,
calcio,40,mg,149
"hierro, total",1.3,mg,149
potasio,337,mg,149
magnesio,26,mg,149
sodio,55,mg,149
fósforo,373,mg,149
ioduro,96.8,ug,280
"selenio, total",16.2,ug,30
zinc (cinc),0.4,mg,180
