Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","485 (116)
							",kJ (kcal),236
"grasa, total (lipidos totales)",4.95,g,179
"proteina, total",17.75,g,179
agua (humedad),76.7,g,179
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,310
carbohidratos,0,g,61
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),0.643,g,293
"ácidos grasos, monoinsaturados totales",0.48,g,293
"ácidos grasos, poliinsaturados totales",1.05,g,293
ácidos grasos saturados totales,1.14,g,293
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,66,mg,179
ácido graso 18:2,0.003,g,293
ácido graso 18:3,0.003,g,293
ácido graso 20:4 n-6  (ácido araquidónico),0.157,g,293
ácido graso 20:5 (ácido eicosapentaenóico),0.127,g,293
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,44,ug,61
Vitamina D,0.01,ug,61
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,0.565,mg,179
"folato, total",8,ug,61
"equivalentes de niacina, totales",2.2,mg,179
riboflavina,0.06,mg,179
tiamina,0.08,mg,179
Vitamina B-12,1.75,ug,179
"Vitamina B-6, Total",0.17,mg,150
Vitamina C (ácido ascórbico),traza,mg,150
Minerales,,,
calcio,41,mg,30
"hierro, total",1.05,mg,179
potasio,340,mg,179
magnesio,33,mg,179
sodio,45,mg,179
fósforo,277.5,mg,179
ioduro,1,ug,7
"selenio, total",12.6,ug,30
zinc (cinc),1,mg,150
