Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,30
"energía, total","1149 (276)
							",kJ (kcal),236
"grasa, total (lipidos totales)",17.9,g,30
"proteina, total",24.6,g,30
agua (humedad),47.5,g,30
Hidratos de Carbono,,,
"fibra, dietetica total",0,g,30
carbohidratos,4,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",4.631,g,30
"ácidos grasos, poliinsaturados totales",7.405,g,30
ácidos grasos saturados totales,4.06,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,588,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,271.5,ug,30
Vitamina D,35.1,ug,30
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.89,mg,30
"folato, total",30,ug,32
"equivalentes de niacina, totales",0.12,mg,30
riboflavina,0.62,mg,30
tiamina,0.19,mg,30
Vitamina B-12,20,ug,30
"Vitamina B-6, Total",0.32,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,275,mg,30
"hierro, total",11.88,mg,30
potasio,181,mg,30
magnesio,300,mg,30
sodio,1500,mg,30
fósforo,356,mg,30
ioduro,,ug,30
"selenio, total",65.5,ug,30
zinc (cinc),0.95,mg,30
