Componente,Valor,Unidad,Fuente
Proximales,,,
alcohol (etanol),0,g,310
"energía, total","1701 (408)
							",kJ (kcal),236
"grasa, total (lipidos totales)",2.5,g,30
"proteina, total",14.8,g,30
agua (humedad),0,g,7
Hidratos de Carbono,,,
"fibra, dietetica total",14.6,g,30
carbohidratos,79.8,g,30
Grasas,,,
ácido graso 22:6 n-3 (ácido docosahexaenóico),-,-,-
"ácidos grasos, monoinsaturados totales",0.3,g,30
"ácidos grasos, poliinsaturados totales",1.1,g,30
ácidos grasos saturados totales,0.29,g,30
ácido graso 12:0 (láurico),-,-,-
ácido graso 14:0 (ácido mirístico),-,-,-
ácido graso 16:0 (ácido palmítico),-,-,-
ácido graso 18:0 (ácido esteárico),-,-,-
ácido graso 18:1 n-9 cis (ácido oléico),-,-,-
colesterol,0,mg,30
ácido graso 18:2,-,-,-
ácido graso 18:3,-,-,-
ácido graso 20:4 n-6  (ácido araquidónico),-,-,-
ácido graso 20:5 (ácido eicosapentaenóico),-,-,-
Vitaminas,,,
Vitamina A equivalentes de retinol de actividades de retinos y carotenoides,0,ug,30
Vitamina D,0,ug,280
Viamina E equivalentes de alfa tocoferol de actividades de vitámeros E,1.87,mg,30
"folato, total",60,ug,30
"equivalentes de niacina, totales",4.27,mg,30
riboflavina,0.25,mg,30
tiamina,0.32,mg,30
Vitamina B-12,0,ug,30
"Vitamina B-6, Total",0.29,mg,30
Vitamina C (ácido ascórbico),0,mg,30
Minerales,,,
calcio,33,mg,30
"hierro, total",2.67,mg,30
potasio,264,mg,30
magnesio,121,mg,30
sodio,6,mg,30
fósforo,374,mg,30
ioduro,10,ug,7
"selenio, total",35.3,ug,30
zinc (cinc),3.73,mg,30
